id,name,clouds.all,sys.country,dt,main.humidity,coord.lat,coord.lon,main.temp,wind.speed
885800,Mount Darwin,89,ZW,1577295697,83,-16.77,31.58,68.92,1.12
2017155,Saskylakh,8,RU,1577295698,96,71.97,114.09,-38.45,9.57
292968,Abu Dhabi,0,AE,1577295612,53,24.47,54.37,70.66,5.82
6096551,Pangnirtung,97,CA,1577295700,52,66.15,-65.72,3.9,3.49
231550,Kiboga,52,UG,1577295700,74,0.92,31.77,70.27,2.77
255036,Platanos,40,GR,1577295701,76,35.47,23.6,57.02,6.93
2126785,Belaya Gora,100,RU,1577295701,97,68.54,146.19,-19.88,3.15
6076690,Montague,90,CA,1577295702,73,46.17,-62.65,26.8,10.29
2030065,Mandalgovi,0,MN,1577295702,80,45.76,106.27,-0.54,12.24
3353383,Rundu,52,NA,1577295703,16,-17.91,19.77,87.8,5.82
1861280,Itoman,20,JP,1577295704,88,26.12,127.67,66.51,4.7
5367788,Lompoc,75,US,1577295704,87,34.64,-120.46,49.15,4.7
3466165,Cidreira,0,BR,1577295705,81,-30.17,-50.22,75.42,9.98
3389822,Salinopolis,100,BR,1577295705,79,-0.61,-47.36,83.08,20.36
1789289,Dayong,90,CN,1577295706,88,25.02,118.29,64.4,2.24
1486910,Komsomolskiy,48,RU,1577295707,98,67.55,63.78,-22.29,3.31
928534,Kasungu,100,MW,1577295708,90,-13.04,33.48,70.03,5.14
2126018,De-Kastri,0,RU,1577295708,99,51.48,140.77,-7.49,9.28
2037534,Dunhua,82,CN,1577295709,95,43.37,128.23,0.97,4.56
2953338,Bad Soden-Salmunster,40,DE,1577295709,81,50.28,9.37,41.23,9.17
2112569,Honjo,100,JP,1577295710,77,39.38,140.05,45.91,12.66
2956656,Vilshofen,40,DE,1577295710,86,49.3,11.95,40.33,6.93
142363,Babol,1,IR,1577295711,76,36.55,52.68,50.0,2.24
3374083,Bathsheba,20,BB,1577295711,58,13.22,-59.52,87.8,18.34
1850144,Nishihara,1,JP,1577295712,80,35.74,139.53,41.22,3.36
2145554,Ulladulla,0,AU,1577295713,100,-35.36,150.48,58.26,8.32
1268814,Joshimath,0,IN,1577295714,27,30.57,79.57,22.24,10.54
5850511,Makaha,90,US,1577295714,94,21.47,-158.22,76.77,13.87
3422683,Kangaatsiaq,0,GL,1577295715,60,68.31,-53.46,13.32,12.77
5864145,Homer,90,US,1577295715,86,59.64,-151.54,25.41,6.93
1690438,San Andres,99,PH,1577295716,95,13.32,122.68,75.79,4.79
2312249,Mushie,76,CD,1577295716,80,-3.02,16.92,76.75,1.63
588365,Vao,100,EE,1577295717,93,59.1,26.19,35.51,5.86
1264322,Maibong,0,IN,1577295717,92,25.3,93.13,52.65,1.81
236901,Ouadda,0,CF,1577295718,24,8.07,22.4,78.26,7.67
2448085,Agadez,0,NE,1577295719,17,16.97,7.99,77.0,18.34
